,板块名称,动量分值,动量排名,排名变化
0,饮料制造,3.06,1,1.0
1,汽车零部件,2.74,2,-1.0
2,通信设备,2.31,3,1.0
3,食品加工制造,2.11,4,2.0
4,计算机应用,1.41,5,-2.0
5,家用轻工,1.37,6,6.0
6,电力设备,1.34,7,4.0
7,专用设备,1.3,8,2.0
8,小家电,1.09,9,7.0
9,中药,1.08,10,-2.0
10,化学制品,0.92,11,8.0
11,半导体及元件,0.8,12,1.0
12,自动化设备,0.79,13,1.0
13,服装家纺,0.78,14,17.0
14,煤炭开采加工,0.74,15,29.0
15,传媒,0.7,16,-9.0
16,汽车整车,0.67,17,-8.0
17,医疗器械,0.67,18,6.0
18,计算机设备,0.59,19,4.0
19,钢铁,0.56,20,0.0
20,农业服务,0.56,21,0.0
21,酒店及餐饮,0.44,22,0.0
22,厨卫电器,0.44,23,-1.0
23,小金属,0.4,24,1.0
24,金属新材料,0.38,25,13.0
25,国防军工,0.38,26,-11.0
26,光学光电子,0.35,27,0.0
27,建筑材料,0.33,28,7.0
28,仪器仪表,0.33,29,-24.0
29,美容护理,0.32,30,24.0
30,电子化学品,0.3,31,-3.0
31,汽车服务,0.29,32,-3.0
32,化学原料,0.29,33,7.0
33,建筑装饰,0.24,34,5.0
34,化工合成材料,0.24,35,-2.0
35,化学制药,0.24,36,5.0
36,互联网电商,0.21,37,-1.0
37,造纸,0.18,38,14.0
38,消费电子,0.17,39,-22.0
39,石油加工贸易,0.15,40,16.0
40,纺织制造,0.12,41,2.0
41,环保,0.12,42,-5.0
42,港口航运,0.12,43,2.0
43,房地产服务,0.12,44,2.0
44,医药商业,0.12,45,14.0
45,通信服务,0.11,46,-16.0
46,白色家电,0.11,47,0.0
47,其他电子,0.11,48,-30.0
48,通用设备,0.1,49,-15.0
49,电力,0.1,50,7.0
50,保险及其他,0.1,51,-3.0
51,黑色家电,0.09,52,-3.0
52,非汽车交运,0.09,53,-3.0
53,贵金属,0.09,54,-3.0
54,生物制品,0.08,55,8.0
55,物流,0.08,56,8.0
56,机场航运,0.08,57,0.0
57,零售,0.06,58,-16.0
58,工业金属,0.06,59,-27.0
59,教育,0.05,60,-7.0
60,种植业与林业,0.04,61,-6.0
61,房地产开发,0.04,62,5.0
62,养殖业,0.04,63,-5.0
63,燃气,0.03,64,0.0
64,其他社会服务,0.03,65,-5.0
65,银行,0.02,66,-5.0
66,包装印刷,0.02,67,-41.0
67,农产品加工,0.02,68,-2.0
