,板块名称,动量分值,动量排名,排名变化
0,医药商业,3.12,1,13.0
1,饮料制造,3.06,2,1.0
2,中药,3.0,3,-1.0
3,酒店及餐饮,2.78,4,2.0
4,钢铁,2.69,5,-1.0
5,半导体及元件,1.8,6,-1.0
6,家用轻工,1.37,7,1.0
7,服装家纺,1.29,8,8.0
8,景点及旅游,1.25,9,17.0
9,机场航运,1.23,10,3.0
10,建筑装饰,1.1,11,8.0
11,小家电,1.09,12,-3.0
12,汽车整车,1.04,13,2.0
13,食品加工制造,1.01,14,-2.0
14,医疗器械,1.01,15,9.0
15,传媒,1.01,16,-6.0
16,通信设备,0.95,17,-16.0
17,专用设备,0.86,18,-7.0
18,其他社会服务,0.81,19,11.0
19,油气开采及服务,0.76,20,0.0
20,通信服务,0.69,21,-4.0
21,国防军工,0.63,22,-4.0
22,石油加工贸易,0.62,23,15.0
23,非汽车交运,0.58,24,5.0
24,计算机应用,0.56,25,-5.0
25,电力设备,0.51,26,1.0
26,煤炭开采加工,0.47,27,33.0
27,厨卫电器,0.44,28,-21.0
28,计算机设备,0.43,29,-6.0
29,工业金属,0.4,30,21.0
30,保险及其他,0.4,31,33.0
31,电力,0.38,32,-7.0
32,养殖业,0.36,33,24.0
33,建筑材料,0.33,34,-2.0
34,美容护理,0.32,35,19.0
35,汽车零部件,0.3,36,-15.0
36,化学制品,0.3,37,-9.0
37,公路铁路运输,0.26,38,25.0
38,化学制药,0.24,39,-8.0
39,零售,0.23,40,-1.0
40,物流,0.19,41,24.0
41,生物制品,0.18,42,-9.0
42,光学光电子,0.16,43,-6.0
43,纺织制造,0.12,44,-4.0
44,港口航运,0.12,45,-4.0
45,白色家电,0.11,46,-4.0
46,银行,0.1,47,-4.0
47,通用设备,0.1,48,-12.0
48,消费电子,0.1,49,-14.0
49,黑色家电,0.09,50,-5.0
50,贵金属,0.09,51,0.0
51,包装印刷,0.09,52,-6.0
52,非金属材料,0.08,53,-6.0
53,汽车服务,0.07,54,-5.0
54,化学原料,0.07,55,-5.0
55,农业服务,0.06,56,0.0
56,造纸,0.05,57,-5.0
57,种植业与林业,0.04,58,-3.0
58,房地产开发,0.04,59,-3.0
59,化工合成材料,0.04,60,-12.0
60,电子化学品,0.03,61,-3.0
61,燃气,0.03,62,-3.0
62,小金属,0.03,63,-2.0
63,其他电子,0.03,64,-2.0
64,农产品加工,0.02,65,-21.0
65,仪器仪表,0.02,66,-32.0
66,自动化设备,0.01,67,-45.0
67,环保,0.01,68,-1.0
