,股票简称,所属同花顺行业,最新涨跌幅,所属概念
0,本川智能,电子-半导体及元件-印制电路板,20.0,5G;汽车电子;华为概念;军工;特斯拉;融资融券;转融券标的;新能源汽车;机器人概念;PCB概念;专精特新;医疗器械概念;毫米波雷达;6G概念
1,新城市,建筑装饰-建筑装饰-工程咨询服务,19.977,智慧停车;垃圾分类;乡村振兴;智慧城市;华为概念;海绵城市;换电概念;新型城镇化;地下管网
2,金信诺,国防军工-国防军工-军工电子,19.955,光纤;基站射频;军民融合;光纤光缆;军工;5G;华为概念;物联网;数据中心;汽车电子;集成电路概念;富时罗素概念股;国产航母;磷酸铁锂;新能源汽车;富时罗素概念;无线耳机;芯片概念;车联网;WiFi 6;F5G概念;东数西算（算力）;钙钛矿电池;PCB概念;卫星导航;6G概念
3,凯龙高科,交运设备-汽车零部件-汽车零部件Ⅲ,17.438,融资融券;转融券标的;尾气治理;新能源汽车;国六标准、国六排放、国六;节能环保;汽车热管理;比亚迪概念;国四概念
4,佰维存储,电子-半导体及元件-集成电路设计,12.739,转融券标的;先进封装（Chiplet）;科创次新股;国家大基金持股;芯片概念;新股与次新股;融资融券;数据存储;信创;专精特新;汽车芯片;消费电子概念;数据中心
5,凌志软件,计算机-计算机应用-软件开发,12.526,融资融券;转融券标的;互联网金融;大数据;金融科技;云计算;信创;百度概念
6,万辰生物,农林牧渔-种植业与林业-其他种植业,12.135,农业种植;乡村振兴;融资融券;转融券标的;高送转预期;年报预增
7,泽宇智能,电力设备-电力设备-电气自控设备,11.109,智能电网;光伏概念;柔性直流输电;特高压;储能;风电;光伏建筑一体化;融资融券;绿色电力;数据中心;数字经济;充电桩;转融券标的;国产软件;虚拟电厂;高送转预期
8,诺思格,医药生物-医疗服务-医疗研发外包,10.381,注册制次新股;融资融券;转融券标的;新股与次新股;CRO概念
9,湘邮科技,计算机-计算机应用-IT服务,10.011,电子信息;蚂蚁金服概念;国产软件;卫星导航;信创;安防;乡村振兴;智慧政务;国资云;云计算;数字经济;跨境电商;数据中心;数字乡村;央企国企改革;国企改革;移动支付;数字货币
10,新炬网络,计算机-计算机应用-IT服务,9.989,大数据;国产软件;华为概念;数据中心;信创;上海自贸区;长三角一体化;金融信息服务;数字经济;人工智能
11,亚光科技,国防军工-国防军工-军工电子,9.629,军民融合;海洋经济;高端装备;元器件;军工;游艇;集成电路概念;5G;融资融券;横琴新区;深股通;转融券标的;卫星导航;第三代半导体;量子科技;氮化镓;燃料电池;芯片概念;6G概念
12,凯盛科技,电子-光学光电子-面板,9.069,智能玻璃;3D玻璃;无线充电;新材料概念;OLED材料;触摸屏;融资融券;华为概念;柔性屏;转融券标的;中材系;OLED;玻璃;锂电原料;地方国企改革;央企国企改革;国企改革;固态电池
13,信维通信,电子-消费电子-消费电子零部件及组装,7.982,WIN升级;智能路由器;三星;智能穿戴;工业4.0;NFC;电子信息;智能音箱;苹果概念;深股通;智能终端;移动天线;VR直播;安防;5G;融资融券;转融券标的;无线充电;特斯拉;汽车电子;无线耳机;富时罗素概念;富时罗素概念股;华为概念;消费电子概念;facebook概念;WiFi 6;射频器;MSCI概念;陶瓷电容;智能汽车;VR设备;虚拟现实;卫星导航;6G概念
14,朗科科技,计算机-计算机设备-计算机设备Ⅲ,7.89,三星;数据存储;元器件;内存;存储芯片;知识产权保护;芯片概念;融资融券;转融券标的;人民币贬值受益;粤港澳大湾区;地方国企改革;国企改革
